,ID,関連注釈ID,親注釈ID,頁数,注番,西暦,和暦,内容,補足（zakuro）,有効行,分類,月（計）,月（実）,月大小（計）,月大小（実）,中気番号（計）,中気番号（実）,中気（計）,中気（実）,中気移動先,中気移動元,干支（計）,干支（実）,西暦（計）,西暦（実）,干支番（計）,干支番（実）,日差分（補正なし）,日差分,中気（計）,中気（実）,中気差分
,49-1-1,-,-,49,1,553-5-28,欽明天皇 14年 5 大 壬戌 58.5997,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,54-1-1,-,-,54,1,570-5-21,欽明天皇 31年 閏4 小 甲申 20.0226,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,56-1-1,-,-,56,1,575-2-26,敏達天皇 4年 2 小 丙戌 22.3271,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,72-1-1,-,-,72,1,623-2-5,推古天皇 31年  1 大 丁丑 13.9641,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,72-1-2,-,-,72,1,624-1-26,推古天皇 32年  1 小 壬申 8.3311,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,74-1-1,-,-,74,1,628-5-9,推古天皇 36年 4 小 丁丑  13.4521,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,74-2-1,-,-,74,2,628-10-4,推古天皇 36年 9 小 乙巳  41.1051,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,81-1-1,-,-,81,1,649-5-17,大化 5年 4 小 乙亥  11.4043,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,81-2-1,-,-,81,2,649-6-15,大化 5年 5 大 甲辰  40.9348,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,95-1-0,-,95-1-1,95,-,692-11-14,持統 6年 10 小 壬戌 58.8590,-,-,true,-,-,-,大,小,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,95-1-1,-,-,95,1,692-12-14,持統 6年 11 大 辛卯  28.3896,計算（元嘉暦による）では28壬辰となるが，書紀は11月辛卯朔，したがってユリウス暦は12月13日。,-,true,-,-,-,小,大,-,-,-,-,-,-,壬辰,辛卯,692-12-14,692-12-13,28,27,-1,-1,-,-,-
,96-1-0,-,96-1-1,96,-,696-11-30,持統 10年 11 大 己亥 35.3893,-,-,true,-,-,-,小,大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,96-1-1,-,-,96,1,696-12-29,持統 10年 12 小 己巳 4.9189,元嘉暦では4戊辰となるが，書紀は12月己巳朔，したがってユリウス暦は12月30日。,-,true,-,-,-,大,小,-,-,-,-,-,-,戊辰,己巳,696-12-29,696-12-30,4,5,1,1,-,-,-
,97-1-0,-,97-1-1,97,-,697-3-28,文武 1年 3 小 丁酉 33.5106,-,-,true,-,-,-,大,小,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,97-1-1,97-0-1,-,97,1,697-4-27,文武 1年 4 大 丙寅  3.0412,元嘉暦では3丁卯となるが，書紀は4月丙寅朔，したがって4月朔のユリウス暦は4月26日。,-,true,-,-,-,小,大,-,-,-,-,-,-,丁卯,丙寅,697-4-27,697-4-26,3,2,-1,-1,-,-,-
,97-2-0,-,97-2-1,97,-,697-7-24,文武 1年 7 小 乙未 31.6330,-,-,true,-,-,-,大,小,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,97-2-1,97-0-1,-,97,2,697-8-23,文武 1年 8 大 甲子 1.1636,元嘉暦では1乙丑，書紀も乙丑朔とあるが，ここは続日本紀にしたがって甲子とする。したがってユリウス暦は8月22日。,-,true,-,-,-,小,大,-,-,-,-,-,-,乙丑,甲子,697-8-23,697-8-22,1,0,-1,-1,-,-,-
,97-3-1,97-0-1,-,97,3,698-1-17,文武 1年 閏12 小 癸巳  28.8165,元嘉暦では28壬辰であるが，続日本紀に閏12月癸巳朔とある。したがってユリウス暦は1月18日となる。,-,true,-,12,閏12,大,小,-,-,-,-,-,-,壬辰,癸巳,698-1-17,698-1-18,28,29,1,1,-,-,-
,97-4-1,97-0-1,-,97,4,697-11-19,文武 1年 11 大 癸巳 29.7553,元嘉暦では閏10月と推算されるが，続日本紀により閏12月。,-,true,-,閏10,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,97-4-2,97-0-1,97-4-1,97,4,697-12-19,文武 1年 12 大 癸亥 59.2859,-,-,true,-,11,12,小,大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,97-0-1,-,-,97,-,-,-,註. 1)〜4)は、儀鳳暦によればすべて合うものである。（儀鳳暦による計算値は本文529頁参照）,-,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,98-1-1,-,-,98,1,698-10-10,文武 2年 9 大 戊午 54-325,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,100-1-1,-,-,100,1,704-5-9,慶雲 1年 4 小 丙辰  52-3,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,102-1-a,-,102-1-1,102,-,711-9-17,和銅 4年 8 大 癸卯 39-756,-,-,true,次月大小,-,-,小,大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,102-1-1,-,-,102,1,711-10-16,和銅 4年 9 小 癸酉 8-1330,計算では8（壬申）であるが，続紀に9月癸酉朔とある。計算B）では9（癸酉）−10となる。したがって9月朔のユリウス暦は10月17日である。,-,true,朔日相違,-,-,大,小,-,-,-,-,-,-,壬申,癸酉,711-10-16,711-10-17,8,9,1,1,-,-,-
,105-1-1,-,-,105,1,721-8-27,養老 5年 8 大 乙亥 11-1337,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,107-1-a,-,107-1-1,107,-,726-9-1,神亀 3年 8 大 丙午 42-230,-,-,true,次月大小,-,-,小,大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,107-1-1,-,-,107,1,726-9-30,神亀 3年 9 小 丙子 11-839,計算では11（乙亥）であるが，続日本紀8月に乙亥の日の記事があるから9月朔は丙子，したがってユリウス暦は10月1日となる。,-,true,朔日相違,-,-,大,小,-,-,-,-,-,-,乙亥,丙子,726-9-30,726-10-1,11,12,1,1,-,-,-
,108-1-1,-,-,108,1,728-2-15,神亀 5年 1 小 戊戌 34-275,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,108-2-1,-,-,108,2,729-3-5,天平 1年 2 小 壬戌 58-7,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,109-1-a,-,109-1-1,109,-,731-7-9,天平 3年 6 小 戊寅  14-456,-,-,true,次月大小,-,-,大,小,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,109-1-1,-,-,109,1,731-8-8,天平 3年 7 大 丁未  44-5,計算A），C）では44戊申，B）では43丁未，「皇后宮職移」「同　職解」＊に7月30日の記事あり，「倉橋部造麻呂書写法経玄賛願文」＊に8月朔丁丑とあることから丁未とする。ユリウス暦では8月7日となる。,-,true,朔日相違,-,-,小,大,-,-,-,-,-,-,戊申,丁未,731-8-8,731-8-7,44,43,-1,-1,-,-,-
,109-2-a,109-a-1,109-2-1,109,-,733-2-19,天平 5年 2 大 己巳  5-668,-,-,true,次月大小,-,-,小,大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,109-2-1,109-a-1,-,109,2,733-3-20,天平 5年 3 小 己亥 34-1237,2月朔を計算通り己巳とすれば，「写経目録」＊「出雲風土記」に2月30日があるから3月朔は己亥となり，ユリウス暦は3月21となる。,-,true,朔日相違,-,-,大,小,-,-,-,-,-,-,戊戌,己亥,733-3-20,733-3-21,34,35,1,1,-,-,-
,109-a-1,-,-,109,-,-,-,＊　岡田芳朗氏「古文書による奈良時代暦日の復原」日本史攷究13，1969による,-,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,110-1-1,-,-,110,1,734-10-31,天平 6年 10 大 戊子 24-1209,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,110-1-2,-,-,110,1,734-11-30,天平 6年 11 大 戊午 54-882,-,改変なし（内容転記せず）,false,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
